ID;Species;Phase;ID_neu;EcoUnit;Treatment;Hair density ;Toughness ;CA_Mean;Fresh_weight [g];Dry weight[mg];Leaf area;SLA;LDMC;LDMC_2;SPAD;Height;FvFm;PIabs
Bro_hor_1_2;Bromus hordeaceus;2;Bromus hordeaceus_2;1;0.081;2.15975;4.3675;106.765;2.511;413;14791.5;35.8148;164476.3043;164.4763043;34.53333333;41.83333333;0.810666667;3.488333333
Bro_hor_2_2;Bromus hordeaceus;2;Bromus hordeaceus_2;2;0.3;2.28175;3.785;109.42;2.115;368;12468.4;33.8815;173995.2719;173.9952719;28.53333333;41;0.819333333;3.738
Bro_hor_3_2;Bromus hordeaceus;2;Bromus hordeaceus_2;3;0.94;1.916;3.99;112.8233333;3.136;512;16378.9;31.99;163265.3061;163.2653061;29.36666667;38;0.8105;3.683
Bro_hor_4_2;Bromus hordeaceus;2;Bromus hordeaceus_2;4;0.103;2.3705;4.8025;111.5975;2.907;477;16152.9;33.8635;164086.6873;164.0866873;33.9;40.5;0.811833333;3.526333333
Bro_hor_5_2;Bromus hordeaceus;2;Bromus hordeaceus_2;5;0;1.8165;3.7775;104.39;3.579;526;19161;36.4278;146968.4269;146.9684269;32.5;50.33333333;0.8;3.2215
Bro_hor_6_2;Bromus hordeaceus;2;Bromus hordeaceus_2;6;0.0087;2.42575;3.9225;115.42;3.623;587;18548.4;31.5986;162020.4251;162.0204251;36.36666667;44;0.820666667;4.741666667
Bro_hor_7_2;Bromus hordeaceus;2;Bromus hordeaceus_2;7;0.028;2.29275;3.7825;107.985;2.478;432;14752.3;34.1488;174334.1404;174.3341404;34.33333333;37.33333333;0.799;4.364333333
Bro_hor_8_2;Bromus hordeaceus;2;Bromus hordeaceus_2;8;0;1.93825;4.64;99.61;3.049;471;16511;35.0552;154476.8777;154.4768777;32.03333333;42;0.808;4.643166667
Bro_hor_9_2;Bromus hordeaceus;2;Bromus hordeaceus_2;9;9.883;1.739;3.94;115.37;3.341;533;17932.4;33.6443;159533.0739;159.5330739;33.06666667;39.33333333;0.814333333;4.552833333
Bro_hor_10_2;Bromus hordeaceus;2;Bromus hordeaceus_2;10;3.033;2.038;4.295;114.9225;3.375;541;18621.7;34.4209;160296.2963;160.2962963;32.1;41.5;0.82025;3.499166667
Bro_hor_11_2;Bromus hordeaceus;2;Bromus hordeaceus_2;11;30.313;2.37075;3.5575;98.3075;3.046;484;17747.8;36.669;158896.914;158.896914;36.83333333;44.83333333;0.811;3.602
